requisito_id;profesor_id;sala_id;curso_id;materia_id;nombre_materia;tipo_materia;clase_compartida;frecuencia_semanal;duracion_sesion_horas;horas_semanales_tipicas;lunes;martes;miercoles;jueves;viernes;horario_entrada;horario_salida
25046;1022;B-102;1°Ini (B);DI-INC-001;Desarrollo Intelectual;Regular;Individual;1;1;1;1;0;1;0;1;15:00:00;19:00:00
25039;1009;C-101;1°Ini (A);PC-INC-001;Practica Coral;Regular;Practica Coral;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25047;1009;C-101;1°Ini (B);PC-INC-001;Practica Coral;Regular;Practica Coral;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25040;1000;D;1°Ini (A);INI-INC-001;Iniciacion Instrumental;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25048;1000;D;1°Ini (B);INI-INC-001;Iniciacion Instrumental;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25049;1002;B-103;2°Ini (A);SR-INC-002;Solfeo-Ritmica;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25056;1002;B-104;2°Ini (B);SR-INC-002;Solfeo-Ritmica;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25050;1011;B-103;2°Ini (A);LEM-INC-002;Lecto-Escritura;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25057;1016;B-104;2°Ini (B);LEM-INC-002;Lecto-Escritura;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25051;1014;B-103;2°Ini (A);FD-INC-002;Flauta Dulce;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25058;1014;B-104;2°Ini (B);FD-INC-002;Flauta Dulce;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25052;1001;D-218;2°Ini (A);TC-INC-002;Teclado;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25059;1025;D-218;2°Ini (B);TC-INC-002;Teclado;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25053;1007;D-217;2°Ini (A);AM-INC-002;Apreciacion Musical;Regular;Individual;1;1;1;1;0;1;0;1;15:00:00;19:00:00
25060;1007;D-217;2°Ini (B);AM-INC-002;Apreciacion Musical;Regular;Individual;1;1;1;1;0;1;0;1;15:00:00;19:00:00
25054;1010;B-103;2°Ini (A);DI-INC-002;Desarrollo Intelectual;Regular;Individual;1;1;1;1;0;1;0;1;15:00:00;19:00:00
25061;1018;B-104;2°Ini (B);DI-INC-002;Desarrollo Intelectual;Regular;Individual;1;1;1;1;0;1;0;1;15:00:00;19:00:00
25055;1009;C-101;2°Ini (A);PC-INC-002;Practica Coral;Regular;Practica Coral;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25062;1009;C-101;2°Ini (B);PC-INC-002;Practica Coral;Regular;Practica Coral;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25063;1012;B-105;3°Ini;SR-INC-003;Solfeo-Ritmica;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25064;1008;B-105;3°Ini;TM-INC-003;Teoria de la Musica;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25065;1025;B-105;3°Ini;FD-INC-003;Flauta Dulce;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25066;1025;D-218;3°Ini;TC-INC-003;Teclado;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25067;1007;D-217;3°Ini;AM-INC-003;Apreciacion Musical;Regular;Individual;1;1;1;1;0;1;0;1;15:00:00;19:00:00
25068;1022;B-105;3°Ini;DI-INC-003;Desarrollo Intelectual;Regular;Individual;1;1;1;1;0;1;0;1;15:00:00;19:00:00
25069;1009;B-105;3°Ini;PC-INC-003;Practica Coral;Regular;Practica Coral;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25071;1017;B-201;1°Bas;SR-BC-001;Solfeo-Ritmica;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25072;1016;B-201;1°Bas;TM-BC-001;Teoria de la Musica;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25073;1019;B-201;1°Bas;DM-BC-001;Dictado Musical;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25074;1019;D-217;1°Bas;AM-BC-001;Apreciacion Musical;Regular;Individual;1;1;1;1;0;1;0;1;15:00:00;19:00:00
25075;1008;C-101;1°Bas;CN-BC-001;Practica Coral (CN);Regular;Practica Coral (CN);3;1;3;1;0;1;0;1;15:00:00;19:00:00
25077;1010;E-101;1°Bas;OF-BC-001;Orquesta Folklorica (A);Regular;Orquesta Folklorica (A);2;1;2;1;0;1;0;1;15:00:00;19:00:00
25078;1009;B-202;2°Bas;SR-BC-002;Solfeo-Ritmica;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25079;1008;B-202;2°Bas;TM-BC-002;Teoria de la Musica;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25080;1027;B-202;2°Bas;DM-BC-002;Dictado Musical;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25081;1007;D-217;2°Bas;AM-BC-002;Apreciacion Musical;Regular;Individual;1;1;1;1;0;1;0;1;15:00:00;19:00:00
25082;1008;C-101;2°Bas;CN-BC-002;Practica Coral (CN);Regular;Practica Coral (CN);3;1;3;1;0;1;0;1;15:00:00;19:00:00
25084;1010;E-101;2°Bas;OF-BC-002;Orquesta Folklorica (A);Regular;Orquesta Folklorica (A);2;1;2;1;0;1;0;1;15:00:00;19:00:00
25085;1026;B-203;3°Bas;SR-BC-003;Solfeo-Ritmica;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25086;1024;B-203;3°Bas;TM-BC-003;Teoria de la Musica;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25087;1027;B-203;3°Bas;DM-BC-003;Dictado Musical;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;19:00:00
25088;1015;A-305;3°Bas;ITV-BC-001;Iniciación a la Tecnica Vocal;Regular;Individual;1;1;1;1;0;1;0;1;15:00:00;19:00:00
