requisito_id;curso_id;materia_id;nivel;inscritos;nombre_materia;cantidad_docente;seccion;clase_compartida;tipo_materia;horas_semanales_tipicas;frecuencia_semanal;duracion_sesion_horas;horario_entrada;horario_salida;lunes;martes;miercoles;jueves;viernes
25037;1°Ini (A);AM-INC-001;Inicial;29;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25045;1°Ini (B);AM-INC-001;Inicial;28;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25038;1°Ini (A);DI-INC-001;Inicial;29;Desarrollo Intelectual;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25046;1°Ini (B);DI-INC-001;Inicial;28;Desarrollo Intelectual;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25039;1°Ini (A);PC-INC-001;Inicial;29;Practica Coral;2;Todos;Practica Coral;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25047;1°Ini (B);PC-INC-001;Inicial;28;Practica Coral;2;Todos;Practica Coral;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25040;1°Ini (A);INI-INC-001;Inicial;29;Iniciacion Instrumental;4;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25048;1°Ini (B);INI-INC-001;Inicial;28;Iniciacion Instrumental;4;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25049;2°Ini (A);SR-INC-002;Inicial;21;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25056;2°Ini (B);SR-INC-002;Inicial;21;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25050;2°Ini (A);LEM-INC-002;Inicial;21;Lecto-Escritura;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25057;2°Ini (B);LEM-INC-002;Inicial;21;Lecto-Escritura;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25051;2°Ini (A);FD-INC-002;Inicial;21;Flauta Dulce;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25058;2°Ini (B);FD-INC-002;Inicial;21;Flauta Dulce;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25052;2°Ini (A);TC-INC-002;Inicial;21;Teclado;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25059;2°Ini (B);TC-INC-002;Inicial;21;Teclado;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25053;2°Ini (A);AM-INC-002;Inicial;21;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25060;2°Ini (B);AM-INC-002;Inicial;21;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25054;2°Ini (A);DI-INC-002;Inicial;21;Desarrollo Intelectual;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25061;2°Ini (B);DI-INC-002;Inicial;21;Desarrollo Intelectual;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25055;2°Ini (A);PC-INC-002;Inicial;21;Practica Coral;2;Todos;Practica Coral;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25062;2°Ini (B);PC-INC-002;Inicial;21;Practica Coral;2;Todos;Practica Coral;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25063;3°Ini;SR-INC-003;Inicial;20;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25064;3°Ini;TM-INC-003;Inicial;20;Teoria de la Musica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25065;3°Ini;FD-INC-003;Inicial;20;Flauta Dulce;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25066;3°Ini;TC-INC-003;Inicial;20;Teclado;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25067;3°Ini;AMC-INC-003;Inicial;20;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25068;3°Ini;DI-INC-003;Inicial;20;Desarrollo Intelectual;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25069;3°Ini;PC-INC-003;Inicial;20;Practica Coral;2;Todos;Practica Coral;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25071;1°Bas;SR-BC-001;Basico;29;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25072;1°Bas;TM-BC-001;Basico;29;Teoria de la Musica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25073;1°Bas;DM-BC-001;Basico;29;Dictado Musical;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25074;1°Bas;AM-BC-001;Basico;29;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25075;1°Bas;CN-BC-001;Basico;29;Practica Coral (CN);2;Todos;Practica Coral (CN);Regular;3;3;1;15:00:00;19:00:00;1;0;1;0;1
25077;1°Bas;OF-BC-001;Basico;29;Orquesta Folklorica (A);2;Todos;Orquesta Folklorica (A);Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25078;2°Bas;SR-BC-002;Basico;28;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25079;2°Bas;TM-BC-002;Basico;28;Teoria de la Musica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25080;2°Bas;DM-BC-002;Basico;28;Dictado Musical;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25081;2°Bas;AM-BC-002;Basico;28;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25082;2°Bas;CN-BC-002;Basico;28;Practica Coral (CN);2;Todos;Practica Coral (CN);Regular;3;3;1;15:00:00;19:00:00;1;0;1;0;1
25084;2°Bas;OF-BC-002;Basico;28;Orquesta Folklorica (A);2;Todos;Orquesta Folklorica (A);Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25085;3°Bas;SR-BC-003;Basico;9;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25086;3°Bas;TM-BC-003;Basico;9;Teoria de la Musica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25087;3°Bas;DM-BC-003;Basico;9;Dictado Musical;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25088;3°Bas;ITV-BC-001;Basico;9;Iniciación a la Tecnica Vocal;1;Canto;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25089;3°Bas;CN-BC-003;Basico;9;Practica Coral (CN);1;Todos;Practica Coral (CN);Regular;3;3;1;15:00:00;19:00:00;1;0;1;0;1
25091;3°Bas;OF-BC-003;Basico;9;Orquesta Folklorica (A);2;Todos;Orquesta Folklorica (A);Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
